video_id,title,category_id,file_path
dummy_1,dummy_1,3,output/meta/dummy_1_with_tags.mp4
dummy_2,dummy_2,1,output/meta/dummy_2_with_tags.mp4
dummy_3,dummy_3,9,output/meta/dummy_3_with_tags.mp4
dummy_4,dummy_4,7,output/meta/dummy_4_with_tags.mp4
dummy_5,dummy_5,9,output/meta/dummy_5_with_tags.mp4
dummy_6,dummy_6,10,output/meta/dummy_6_with_tags.mp4
dummy_7,dummy_7,8,output/meta/dummy_7_with_tags.mp4
dummy_8,dummy_8,10,output/meta/dummy_8_with_tags.mp4
dummy_9,dummy_9,6,output/meta/dummy_9_with_tags.mp4
dummy_10,dummy_10,8,output/meta/dummy_10_with_tags.mp4
dummy_11,dummy_11,2,output/meta/dummy_11_with_tags.mp4
dummy_12,dummy_12,2,output/meta/dummy_12_with_tags.mp4
dummy_13,dummy_13,6,output/meta/dummy_13_with_tags.mp4
dummy_14,dummy_14,10,output/meta/dummy_14_with_tags.mp4
dummy_15,dummy_15,3,output/meta/dummy_15_with_tags.mp4
dummy_16,dummy_16,9,output/meta/dummy_16_with_tags.mp4
dummy_17,dummy_17,6,output/meta/dummy_17_with_tags.mp4
dummy_18,dummy_18,3,output/meta/dummy_18_with_tags.mp4
dummy_19,dummy_19,8,output/meta/dummy_19_with_tags.mp4
dummy_20,dummy_20,2,output/meta/dummy_20_with_tags.mp4
