user_id,video_id,category_id,watch_time,total_duration
watch_2,dummy_2_with_tags,10,2,15
watch_2,dummy_4_with_tags,1,4,15
watch_2,dummy_10_with_tags,1,3,15
watch_2,dummy_5_with_tags,3,14,15
watch_2,dummy_12_with_tags,3,2,15
watch_2,dummy_19_with_tags,8,12,15
watch_2,dummy_1_with_tags,9,14,15
watch_2,dummy_15_with_tags,5,2,15
watch_2,dummy_8_with_tags,4,3,15
watch_2,dummy_7_with_tags,5,5,15
watch_2,dummy_11_with_tags,2,4,15
watch_2,dummy_20_with_tags,10,10,15
watch_2,dummy_3_with_tags,10,0,15
watch_2,dummy_6_with_tags,2,10,15
watch_2,dummy_9_with_tags,6,16,15
watch_2,dummy_16_with_tags,6,18,15
watch_2,dummy_17_with_tags,6,2,15
watch_2,dummy_14_with_tags,4,1,15
